Typ;Titel;AutorRegisseurHersteller;Zusatz;Id;IstVerliehen;IstReserviert;ReserviertVon;VerliehenAn;VerliehenAm
Buch;Die Verwandlung;Franz Kafka;Reclam;B098;False;False;;;
Buch;Faust. Der Tragödie erster Teil;Johann Wolfgang von Goethe;Reclam;B099;False;False;;;
Buch;Der Fänger im Roggen;J. D. Salinger;Rowohlt;B100;False;False;;;
DVD;Der Herr der Ringe: Die Gefährten;Peter Jackson;178;D001;False;False;;;
DVD;Der Herr der Ringe: Die zwei Türme;Peter Jackson;179;D002;False;False;;;
DVD;Der Herr der Ringe: Die Rückkehr des Königs;Peter Jackson;201;D003;False;False;;;
DVD;Harry Potter und der Stein der Weisen;Chris Columbus;152;D004;False;False;;;
DVD;Matrix;Lana & Lilly Wachowski;136;D005;False;False;;;
DVD;Inception;Christopher Nolan;148;D006;False;False;;;
DVD;Interstellar;Christopher Nolan;169;D007;False;False;;;
DVD;Der Pate;Francis Ford Coppola;175;D008;False;False;;;
DVD;Forrest Gump;Robert Zemeckis;142;D009;False;False;;;
DVD;Star Wars: Eine neue Hoffnung;George Lucas;121;D010;False;False;;;
DVD;Star Wars: Das Imperium schlägt zurück;Irvin Kershner;124;D011;False;False;;;
DVD;Star Wars: Die Rückkehr der Jedi-Ritter;Richard Marquand;131;D012;False;False;;;
DVD;Jurassic Park;Steven Spielberg;127;D013;False;False;;;
DVD;Zurück in die Zukunft;Robert Zemeckis;116;D014;False;False;;;
DVD;Der König der Löwen;Roger Allers & Rob Minkoff;88;D015;False;False;;;
DVD;Findet Nemo;Andrew Stanton;100;D016;False;False;;;
DVD;Toy Story;John Lasseter;81;D017;False;False;;;
DVD;Gladiator;Ridley Scott;155;D018;False;False;;;
DVD;The Dark Knight;Christopher Nolan;152;D019;False;False;;;
DVD;Avatar – Aufbruch nach Pandora;James Cameron;162;D020;False;False;;;
DVD;Der Herr der Ringe: Die Gefährten;Peter Jackson;178;D021;False;False;;;
DVD;Der Herr der Ringe: Die zwei Türme;Peter Jackson;179;D022;False;False;;;
DVD;Der Herr der Ringe: Die Rückkehr des Königs;Peter Jackson;201;D023;False;False;;;
DVD;Harry Potter und der Stein der Weisen;Chris Columbus;152;D024;False;False;;;
DVD;Matrix;Lana & Lilly Wachowski;136;D025;False;False;;;
DVD;Inception;Christopher Nolan;148;D026;False;False;;;
DVD;Interstellar;Christopher Nolan;169;D027;False;False;;;
DVD;Der Pate;Francis Ford Coppola;175;D028;False;False;;;
DVD;Forrest Gump;Robert Zemeckis;142;D029;False;False;;;
DVD;Star Wars: Eine neue Hoffnung;George Lucas;121;D030;False;False;;;
DVD;Star Wars: Das Imperium schlägt zurück;Irvin Kershner;124;D031;False;False;;;
DVD;Star Wars: Die Rückkehr der Jedi-Ritter;Richard Marquand;131;D032;False;False;;;
DVD;Jurassic Park;Steven Spielberg;127;D033;False;False;;;
DVD;Zurück in die Zukunft;Robert Zemeckis;116;D034;False;False;;;
DVD;Der König der Löwen;Roger Allers & Rob Minkoff;88;D035;False;False;;;
DVD;Findet Nemo;Andrew Stanton;100;D036;False;False;;;
DVD;Toy Story;John Lasseter;81;D037;False;False;;;
DVD;Gladiator;Ridley Scott;155;D038;False;False;;;
DVD;The Dark Knight;Christopher Nolan;152;D039;False;False;;;
DVD;Avatar – Aufbruch nach Pandora;James Cameron;162;D040;False;False;;;
DVD;Der Herr der Ringe: Die Gefährten;Peter Jackson;178;D041;False;False;;;
DVD;Der Herr der Ringe: Die zwei Türme;Peter Jackson;179;D042;False;False;;;
DVD;Der Herr der Ringe: Die Rückkehr des Königs;Peter Jackson;201;D043;False;False;;;
DVD;Harry Potter und der Stein der Weisen;Chris Columbus;152;D044;False;False;;;
DVD;Matrix;Lana & Lilly Wachowski;136;D045;False;False;;;
DVD;Inception;Christopher Nolan;148;D046;False;False;;;
DVD;Interstellar;Christopher Nolan;169;D047;False;False;;;
DVD;Der Pate;Francis Ford Coppola;175;D048;False;False;;;
DVD;Forrest Gump;Robert Zemeckis;142;D049;False;False;;;
DVD;Star Wars: Eine neue Hoffnung;George Lucas;121;D050;False;False;;;
DVD;Star Wars: Das Imperium schlägt zurück;Irvin Kershner;124;D051;False;False;;;
DVD;Star Wars: Die Rückkehr der Jedi-Ritter;Richard Marquand;131;D052;False;False;;;
DVD;Jurassic Park;Steven Spielberg;127;D053;False;False;;;
DVD;Zurück in die Zukunft;Robert Zemeckis;116;D054;False;False;;;
DVD;Der König der Löwen;Roger Allers & Rob Minkoff;88;D055;False;False;;;
DVD;Findet Nemo;Andrew Stanton;100;D056;False;False;;;
DVD;Toy Story;John Lasseter;81;D057;False;False;;;
DVD;Gladiator;Ridley Scott;155;D058;False;False;;;
DVD;The Dark Knight;Christopher Nolan;152;D059;False;False;;;
DVD;Avatar – Aufbruch nach Pandora;James Cameron;162;D060;False;False;;;
DVD;Der Herr der Ringe: Die Gefährten;Peter Jackson;178;D061;False;False;;;
DVD;Der Herr der Ringe: Die zwei Türme;Peter Jackson;179;D062;False;False;;;
DVD;Der Herr der Ringe: Die Rückkehr des Königs;Peter Jackson;201;D063;False;False;;;
DVD;Harry Potter und der Stein der Weisen;Chris Columbus;152;D064;False;False;;;
DVD;Matrix;Lana & Lilly Wachowski;136;D065;False;False;;;
DVD;Inception;Christopher Nolan;148;D066;False;False;;;
DVD;Interstellar;Christopher Nolan;169;D067;False;False;;;
DVD;Der Pate;Francis Ford Coppola;175;D068;False;False;;;
DVD;Forrest Gump;Robert Zemeckis;142;D069;False;False;;;
DVD;Star Wars: Eine neue Hoffnung;George Lucas;121;D070;False;False;;;
DVD;Star Wars: Das Imperium schlägt zurück;Irvin Kershner;124;D071;False;False;;;
DVD;Star Wars: Die Rückkehr der Jedi-Ritter;Richard Marquand;131;D072;False;False;;;
DVD;Jurassic Park;Steven Spielberg;127;D073;False;False;;;
DVD;Zurück in die Zukunft;Robert Zemeckis;116;D074;False;False;;;
DVD;Der König der Löwen;Roger Allers & Rob Minkoff;88;D075;False;False;;;
DVD;Findet Nemo;Andrew Stanton;100;D076;False;False;;;
DVD;Toy Story;John Lasseter;81;D077;False;False;;;
DVD;Gladiator;Ridley Scott;155;D078;False;False;;;
DVD;The Dark Knight;Christopher Nolan;152;D079;False;False;;;
DVD;Avatar – Aufbruch nach Pandora;James Cameron;162;D080;False;False;;;
DVD;Der Herr der Ringe: Die Gefährten;Peter Jackson;178;D081;False;False;;;
DVD;Der Herr der Ringe: Die zwei Türme;Peter Jackson;179;D082;False;False;;;
DVD;Der Herr der Ringe: Die Rückkehr des Königs;Peter Jackson;201;D083;False;False;;;
DVD;Harry Potter und der Stein der Weisen;Chris Columbus;152;D084;False;False;;;
DVD;Matrix;Lana & Lilly Wachowski;136;D085;False;False;;;
DVD;Inception;Christopher Nolan;148;D086;False;False;;;
DVD;Interstellar;Christopher Nolan;169;D087;False;False;;;
DVD;Der Pate;Francis Ford Coppola;175;D088;False;False;;;
DVD;Forrest Gump;Robert Zemeckis;142;D089;False;False;;;
DVD;Star Wars: Eine neue Hoffnung;George Lucas;121;D090;False;False;;;
DVD;Star Wars: Das Imperium schlägt zurück;Irvin Kershner;124;D091;False;False;;;
DVD;Star Wars: Die Rückkehr der Jedi-Ritter;Richard Marquand;131;D092;False;False;;;
DVD;Jurassic Park;Steven Spielberg;127;D093;False;False;;;
DVD;Zurück in die Zukunft;Robert Zemeckis;116;D094;False;False;;;
DVD;Der König der Löwen;Roger Allers & Rob Minkoff;88;D095;False;False;;;
DVD;Findet Nemo;Andrew Stanton;100;D096;False;False;;;
DVD;Toy Story;John Lasseter;81;D097;False;False;;;
DVD;Gladiator;Ridley Scott;155;D098;False;False;;;
DVD;The Dark Knight;Christopher Nolan;152;D099;False;False;;;
DVD;Avatar – Aufbruch nach Pandora;James Cameron;162;D100;False;False;;;
Software;Microsoft Word;Microsoft;Windows;S001;False;False;;;
Software;Microsoft Excel;Microsoft;Windows;S002;False;False;;;
Software;Microsoft PowerPoint;Microsoft;Windows;S003;False;False;;;
Software;Adobe Photoshop;Adobe;Windows;S004;False;False;;;
Software;Adobe Illustrator;Adobe;Windows;S005;False;False;;;
Software;Visual Studio;Microsoft;Windows;S006;False;False;;;
Software;IntelliJ IDEA;JetBrains;Windows;S007;False;False;;;
Software;PyCharm;JetBrains;Windows;S008;False;False;;;
Software;Rider;JetBrains;Windows;S009;False;False;;;
Software;CLion;JetBrains;Windows;S010;False;False;;;
Software;Xcode;Apple;macOS;S011;False;False;;;
Software;Final Cut Pro;Apple;macOS;S012;False;False;;;
Software;Logic Pro;Apple;macOS;S013;False;False;;;
Software;Safari;Apple;macOS;S014;False;False;;;
Software;Google Chrome;Google;Cross-Platform;S015;False;False;;;
Software;Mozilla Firefox;Mozilla;Cross-Platform;S016;False;False;;;
Software;Visual Studio Code;Microsoft;Cross-Platform;S017;False;False;;;
Software;Slack;Slack Technologies;Cross-Platform;S018;False;False;;;
Software;Discord;Discord Inc.;Cross-Platform;S019;False;False;;;
Software;Docker Desktop;Docker Inc.;Cross-Platform;S020;False;False;;;
Software;Microsoft Word;Microsoft;Windows;S021;False;False;;;
Software;Microsoft Excel;Microsoft;Windows;S022;False;False;;;
Software;Microsoft PowerPoint;Microsoft;Windows;S023;False;False;;;
Software;Adobe Photoshop;Adobe;Windows;S024;False;False;;;
Software;Adobe Illustrator;Adobe;Windows;S025;False;False;;;
Software;Visual Studio;Microsoft;Windows;S026;False;False;;;
Software;IntelliJ IDEA;JetBrains;Windows;S027;False;False;;;
Software;PyCharm;JetBrains;Windows;S028;False;False;;;
Software;Rider;JetBrains;Windows;S029;False;False;;;
Software;CLion;JetBrains;Windows;S030;False;False;;;
Software;Xcode;Apple;macOS;S031;False;False;;;
Software;Final Cut Pro;Apple;macOS;S032;False;False;;;
Software;Logic Pro;Apple;macOS;S033;False;False;;;
Software;Safari;Apple;macOS;S034;False;False;;;
Software;Google Chrome;Google;Cross-Platform;S035;False;False;;;
Software;Mozilla Firefox;Mozilla;Cross-Platform;S036;False;False;;;
Software;Visual Studio Code;Microsoft;Cross-Platform;S037;False;False;;;
Software;Slack;Slack Technologies;Cross-Platform;S038;False;False;;;
Software;Discord;Discord Inc.;Cross-Platform;S039;False;False;;;
Software;Docker Desktop;Docker Inc.;Cross-Platform;S040;False;False;;;
Software;Microsoft Word;Microsoft;Windows;S041;False;False;;;
Software;Microsoft Excel;Microsoft;Windows;S042;False;False;;;
Software;Microsoft PowerPoint;Microsoft;Windows;S043;False;False;;;
Software;Adobe Photoshop;Adobe;Windows;S044;False;False;;;
Software;Adobe Illustrator;Adobe;Windows;S045;False;False;;;
Software;Visual Studio;Microsoft;Windows;S046;False;False;;;
Software;IntelliJ IDEA;JetBrains;Windows;S047;False;False;;;
Software;PyCharm;JetBrains;Windows;S048;False;False;;;
Software;Rider;JetBrains;Windows;S049;False;False;;;
Software;CLion;JetBrains;Windows;S050;False;False;;;
Software;Xcode;Apple;macOS;S051;False;False;;;
Software;Final Cut Pro;Apple;macOS;S052;False;False;;;
Software;Logic Pro;Apple;macOS;S053;False;False;;;
Software;Safari;Apple;macOS;S054;False;False;;;
Software;Google Chrome;Google;Cross-Platform;S055;False;False;;;
Software;Mozilla Firefox;Mozilla;Cross-Platform;S056;False;False;;;
Software;Visual Studio Code;Microsoft;Cross-Platform;S057;False;False;;;
Software;Slack;Slack Technologies;Cross-Platform;S058;False;False;;;
Software;Discord;Discord Inc.;Cross-Platform;S059;False;False;;;
Software;Docker Desktop;Docker Inc.;Cross-Platform;S060;False;False;;;
Software;Microsoft Word;Microsoft;Windows;S061;False;False;;;
Software;Microsoft Excel;Microsoft;Windows;S062;False;False;;;
Software;Microsoft PowerPoint;Microsoft;Windows;S063;False;False;;;
Software;Adobe Photoshop;Adobe;Windows;S064;False;False;;;
Software;Adobe Illustrator;Adobe;Windows;S065;False;False;;;
Software;Visual Studio;Microsoft;Windows;S066;False;False;;;
Software;IntelliJ IDEA;JetBrains;Windows;S067;False;False;;;
Software;PyCharm;JetBrains;Windows;S068;False;False;;;
Software;Rider;JetBrains;Windows;S069;False;False;;;
Software;CLion;JetBrains;Windows;S070;False;False;;;
Software;Xcode;Apple;macOS;S071;False;False;;;
Software;Final Cut Pro;Apple;macOS;S072;False;False;;;
Software;Logic Pro;Apple;macOS;S073;False;False;;;
Software;Safari;Apple;macOS;S074;False;False;;;
Software;Google Chrome;Google;Cross-Platform;S075;False;False;;;
Software;Mozilla Firefox;Mozilla;Cross-Platform;S076;False;False;;;
Software;Visual Studio Code;Microsoft;Cross-Platform;S077;False;False;;;
Software;Slack;Slack Technologies;Cross-Platform;S078;False;False;;;
Software;Discord;Discord Inc.;Cross-Platform;S079;False;False;;;
Software;Docker Desktop;Docker Inc.;Cross-Platform;S080;False;False;;;
Software;Microsoft Word;Microsoft;Windows;S081;False;False;;;
Software;Microsoft Excel;Microsoft;Windows;S082;False;False;;;
Software;Microsoft PowerPoint;Microsoft;Windows;S083;False;False;;;
Software;Adobe Photoshop;Adobe;Windows;S084;False;False;;;
Software;Adobe Illustrator;Adobe;Windows;S085;False;False;;;
Software;Visual Studio;Microsoft;Windows;S086;False;False;;;
Software;IntelliJ IDEA;JetBrains;Windows;S087;False;False;;;
Software;PyCharm;JetBrains;Windows;S088;False;False;;;
Software;Rider;JetBrains;Windows;S089;False;False;;;
Software;CLion;JetBrains;Windows;S090;False;False;;;
Software;Xcode;Apple;macOS;S091;False;False;;;
Software;Final Cut Pro;Apple;macOS;S092;False;False;;;
Software;Logic Pro;Apple;macOS;S093;False;False;;;
Software;Safari;Apple;macOS;S094;False;False;;;
Software;Google Chrome;Google;Cross-Platform;S095;False;False;;;
Software;Mozilla Firefox;Mozilla;Cross-Platform;S096;False;False;;;
Software;Visual Studio Code;Microsoft;Cross-Platform;S097;False;False;;;
Software;Slack;Slack Technologies;Cross-Platform;S098;False;False;;;
Software;Discord;Discord Inc.;Cross-Platform;S099;False;False;;;
Software;Docker Desktop;Docker Inc.;Cross-Platform;S100;False;False;;;
